relpath,openmp_line_num,label_is_parallelizable,label_is_icc_parallelized,label_is_omp_parallelized,dynamic_loop_abs_time,dynamic_loop_abs_time_self,dynamic_loop_app_frac_time,dynamic_loop_app_frac_time_self,dynamic_loop_avg_iter_num,dynamic_loop_entries_num,dynamic_loop_exits_num,dynamic_loop_max_iter_num,dynamic_loop_min_iter_num,static_critical_payload_anti_dependencies_number,static_critical_payload_branch_count,static_critical_payload_branch_fraction,static_critical_payload_call_count,static_critical_payload_call_fraction,static_critical_payload_cntl_dependencies_number,static_critical_payload_conf_dependencies_number,static_critical_payload_cross_dependencies_number,static_critical_payload_getelemptr_count,static_critical_payload_getelemptr_fraction,static_critical_payload_mem_cohesion,static_critical_payload_mem_dependencies_number,static_critical_payload_mem_read_count,static_critical_payload_mem_read_fraction,static_critical_payload_mem_write_count,static_critical_payload_mem_write_fraction,static_critical_payload_non_cf_cohesion,static_critical_payload_output_dependencies_number,static_critical_payload_reg_dependencies_number,static_critical_payload_total_cohesion,static_critical_payload_total_dependencies_number,static_critical_payload_true_dependencies_number,static_iterator_anti_dependencies_number,static_iterator_branch_count,static_iterator_branch_fraction,static_iterator_call_count,static_iterator_call_fraction,static_iterator_cntl_dependencies_number,static_iterator_conf_dependencies_number,static_iterator_cross_dependencies_number,static_iterator_getelemptr_count,static_iterator_getelemptr_fraction,static_iterator_mem_dependencies_number,static_iterator_mem_read_count,static_iterator_mem_read_fraction,static_iterator_mem_write_count,static_iterator_mem_write_fraction,static_iterator_output_dependencies_number,static_iterator_payload_mem_cohesion,static_iterator_payload_non_cf_cohesion,static_iterator_payload_total_cohesion,static_iterator_reg_dependencies_number,static_iterator_total_dependencies_number,static_iterator_true_dependencies_number,static_loop_absolute_size,static_loop_critical_payload_fraction,static_loop_depth,static_loop_inner_loop_num,static_loop_iterator_size,static_loop_payload_fraction,static_loop_proper_sccs_ddg_number,static_loop_proper_sccs_ddg_number_diff,static_loop_proper_sccs_mdg_number,static_loop_proper_sccs_number,static_loop_proper_sccs_number_diff,static_payload_anti_dependencies_number,static_payload_branch_count,static_payload_branch_fraction,static_payload_call_count,static_payload_call_fraction,static_payload_cntl_dependencies_number,static_payload_conf_dependencies_number,static_payload_cross_dependencies_number,static_payload_getelemptr_count,static_payload_getelemptr_fraction,static_payload_mem_dependencies_number,static_payload_mem_read_count,static_payload_mem_read_fraction,static_payload_mem_write_count,static_payload_mem_write_fraction,static_payload_output_dependencies_number,static_payload_reg_dependencies_number,static_payload_total_dependencies_number,static_payload_true_dependencies_number
BT/src/add.c,47,1,1,1,3715475007,442560,0.5,0.0,100,201,201,100,100,0,3,0.1667,0,0.0,0,0,0,0,0.0,0.0,0,2,0.125,0,0.0,0.07965,0,16,0.3982,32,16,0,1,0.1667,0,0.0,6,0,0,0,0.0,0,1,0.1667,0,0.0,0,0.0,0.02206,0.08088,6,12,6,61,0.2909,1,3,6,0.9016,4,1,0,3,0,0,14,0.2545,0,0.0,60,0,0,12,0.2182,1,4,0.07272999999999999,1,0.01818,1,52,113,52
BT/src/add.c,48,1,1,0,3715032447,9471928,0.5,0.0,100,20100,20100,100,100,0,2,0.1667,0,0.0,0,0,0,0,0.0,0.0,0,1,0.1,0,0.0,0.06667000000000001,0,10,0.4333,20,10,0,1,0.1667,0,0.0,6,0,0,0,0.0,0,1,0.1667,0,0.0,0,0.0,0.02655,0.09735,6,12,6,52,0.2174,2,2,6,0.8846,3,1,0,2,0,0,10,0.2174,0,0.0,46,0,0,12,0.2609,1,3,0.06522,1,0.02174,1,43,90,43
BT/src/add.c,49,1,1,0,3705560519,1268179449,0.5,0.2,100,2010000,2010000,100,100,0,1,0.1667,0,0.0,0,0,0,0,0.0,0.0,0,0,0.0,0,0.0,0.04348,0,4,0.4783,8,4,0,1,0.1667,0,0.0,6,0,0,0,0.0,0,1,0.1667,0,0.0,0,0.0,0.03333,0.1,6,12,6,43,0.1081,3,1,6,0.8605,2,1,0,1,0,0,6,0.1622,0,0.0,34,0,0,12,0.3243,1,2,0.05405,1,0.027030000000000002,1,34,69,34
BT/src/add.c,50,1,1,0,2437381070,2437381070,0.3,0.3,5,201000000,201000000,5,5,0,0,0.25,0,0.0,0,0,0,0,0.0,0.0,0,0,0.0,0,0.0,0.0,0,0,0.0,0,0,0,1,0.25,0,0.0,4,0,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0.04348,0.4783,4,8,4,34,0.0,4,0,4,0.8824,1,1,0,0,0,0,2,0.06667000000000001,0,0.0,0,0,0,12,0.4,1,2,0.06667000000000001,1,0.03333,1,27,28,27
BT/src/bt.c,137,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0.3333,0,0.0,0,0,0,0,0.0,0.0,0,0,0.0,0,0.0,0.0,0,0,0.0,0,0,0,1,0.3333,1,0.3333,3,0,0,0,0.0,0,1,0.3333,1,0.3333,0,0.0,0.0,0.1667,2,5,2,4,0.0,1,0,3,0.25,0,0,0,0,0,0,1,1.0,0,0.0,0,0,0,0,0.0,0,0,0.0,0,0.0,0,0,0,0
BT/src/bt.c,139,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0.3333,0,0.0,0,0,0,0,0.0,0.0,0,0,0.0,0,0.0,0.0,0,0,0.0,0,0,0,1,0.3333,1,0.3333,3,0,0,0,0.0,0,1,0.3333,1,0.3333,0,0.0,0.0,0.1667,2,5,2,4,0.0,1,0,3,0.25,0,0,0,0,0,0,1,1.0,0,0.0,0,0,0,0,0.0,0,0,0.0,0,0.0,0,0,0,0
BT/src/bt.c,168,0,0,0,626,502,0.0,0.0,11,1,1,11,11,0,0,0.25,0,0.0,0,0,0,0,0.0,0.0,0,0,0.0,0,0.0,0.0,0,0,0.0,0,0,0,1,0.25,0,0.0,4,0,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0.08333,0.3333,4,8,4,7,0.0,1,0,4,0.4286,1,1,0,0,0,0,2,0.6667,1,0.3333,0,0,0,0,0.0,0,1,0.3333,1,0.3333,0,0,0,0
BT/src/bt.c,182,0,0,0,1687,1464,0.0,0.0,11,1,1,11,11,0,0,0.25,0,0.0,0,0,0,0,0.0,0.0,0,0,0.0,0,0.0,0.0,0,0,0.0,0,0,0,1,0.25,0,0.0,4,0,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0.08333,0.3333,4,8,4,7,0.0,1,0,4,0.4286,1,1,0,0,0,0,2,0.6667,1,0.3333,0,0,0,0,0.0,0,1,0.3333,1,0.3333,0,0,0,0
BT/src/bt.c,187,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0.2,0,0.0,0,0,0,0,0.0,0.0,0,0,0.0,0,0.0,0.0,0,0,0.0,0,0,0,1,0.2,0,0.0,5,0,0,0,0.0,0,1,0.2,0,0.0,0,0.0,0.1071,0.3214,5,10,5,15,0.0,1,0,5,0.6667,1,1,0,0,0,0,5,0.5,2,0.2,6,0,0,0,0.0,0,2,0.2,2,0.2,0,3,9,3
BT/src/bt.c,219,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0.25,0,0.0,0,0,0,0,0.0,0.0,0,0,0.0,0,0.0,0.0,0,0,0.0,0,0,0,1,0.25,0,0.0,4,0,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0.1053,0.4211,4,8,4,10,0.0,1,0,4,0.6,1,1,0,0,0,0,2,0.3333,1,0.1667,0,0,0,1,0.1667,0,1,0.1667,2,0.3333,0,3,3,3
