,benchmark,dataset,comp,rational,mem,localmem,coalesced,atomic,transfer,wgsize,oracle,runtime_cpu,runtime_gpu,src,seq
0,amd-app-sdk-3.0-BinomialOption-binomial_options,default,98,8,13,11,2,0,2048,255,GPU,3.2910730000000004,0.152038,"__kernel void A(int a, const __global float4* b, __global float4* c, __local float4* d, __local float4* e) {
  unsigned int f = get_local_id(0);
  unsigned int g = get_group_id(0);

  float4 h = b[g];

  float4 i = (1.0f - h) * 5.0f + h * 30.f;
  float4 j = (1.0f - h) * 1.0f + h * 100.f;
  float4 k = (1.0f - h) * 0.25f + h * 10.f;
  float4 l = k * (1.0f / (float)a);
  float4 m = 0.30f * sqrt(l);
  float4 n = 0.02f * l;
  float4 o = exp(n);
  float4 p = 1.0f / o;
  float4 q = exp(m);
  float4 r = 1.0f / q;
  float4 s = (o - r) / (q - r);
  float4 t = 1.0f - s;
  float4 u = s * p;
  float4 v = t * p;

  float4 w = i * exp(m * (2.0f * f - (float)a)) - j;
  d[f].x = w.x > 0 ? w.x : 0.0f;
  d[f].y = w.y > 0 ? w.y : 0.0f;
  d[f].z = w.z > 0 ? w.z : 0.0f;
  d[f].w = w.w > 0 ? w.w : 0.0f;

  barrier(1);

  for (int x = a; x > 0; x -= 2) {
    if (f < x) {
      e[f] = u * d[f] + v * d[f + 1];
    }
    barrier(1);

    if (f < x - 1) {
      d[f] = u * e[f] + v * e[f + 1];
    }
    barrier(1);
  }

  if (f == 0)
    c[g] = d[0];
}
","[129 129 129 ...,   0 127   0]"
1,amd-app-sdk-3.0-BitonicSort-bitonicSort,default,12,2,6,0,6,0,131072,256,GPU,0.12194,0.057834,"__kernel void A(__global uint* a, const uint b, const uint c, const uint d) {
  uint e = d;
  uint f = get_global_id(0);

  uint g = 1 << (b - c);
  uint h = 2 * g;

  uint i = (f % g) + (f / g) * h;

  uint j = i + g;

  uint k = a[i];
  uint l = a[j];

  uint m = 1 << b;

  if ((f / m) % 2 == 1)
    e = 1 - e;

  uint n;
  uint o;
  if (k > l) {
    n = k;
    o = l;
  } else {
    n = l;
    o = k;
  }

  if (e) {
    a[i] = o;
    a[j] = n;
  } else {
    a[i] = n;
    a[j] = o;
  }
}
","[129 129 129 ...,   0 127   0]"
2,amd-app-sdk-3.0-BlackScholes-blackScholes,default,220,4,3,0,0,0,3145728,256,GPU,6.076052,1.997728,"__kernel void A(const __global float4* a, int b, __global float4* c, __global float4* d) {
  float4 e, f;
  float4 g, h;
  float4 i;
  float4 j;

  unsigned k = get_global_id(0);
  unsigned l = get_global_id(1);
  float4 m = (float4)2.0f;
  float4 n = a[l * b + k];
  float4 o = 10.0f * n + 100.0f * (1.0f - n);
  float4 p = 10.0f * n + 100.0f * (1.0f - n);
  float4 q = 1.0f * n + 10.0f * (1.0f - n);
  float4 r = 0.01f * n + 0.05f * (1.0f - n);
  float4 s = 0.01f * n + 0.10f * (1.0f - n);

  i = s * sqrt(q);

  e = (log(o / p) + (r + s * s / m) * q) / i;
  f = e - i;

  j = p * exp(-r * q);
  A(e, &g);
  A(f, &h);
  c[l * b + k] = o * g - j * h;
  A(e, &g);
  A(f, &h);
  d[l * b + k] = j * h - o * g;
}","[129 129 129 ...,  26   0 127]"
3,amd-app-sdk-3.0-FastWalshTransform-fastWalshTransform,default,8,0,4,0,4,0,4096,256,GPU,0.130003,0.062024,"__kernel void A(__global float* a, __const int b) {
  unsigned int c = get_global_id(0);

  const unsigned int d = c % b;
  const unsigned int e = 2 * b * (c / b) + d;

  const unsigned int f = e + b;

  float g = a[e];
  float h = a[f];

  a[e] = g + h;
  a[f] = g - h;
}
","[129 129 129 ...,   0 127   0]"
4,amd-app-sdk-3.0-FloydWarshall-floydWarshallPass,default,11,1,5,0,0,0,524288,256,CPU,0.283447,0.604686,"__kernel void A(__global uint* a, __global uint* b, const unsigned int c, const unsigned int d) {
  int e = get_global_id(0);
  int f = get_global_id(1);

  int g = d;
  int h = a[f * c + e];
  int i = (a[f * c + g] + a[g * c + e]);

  if (i < h) {
    a[f * c + e] = i;
    b[f * c + e] = g;
  }
}","[129 129 129 ..., 127   0 127]"
5,amd-app-sdk-3.0-MatrixMultiplication-mmmKernel,default,163,1,12,0,0,0,49152,64,GPU,0.277644,0.12421099999999999,"__kernel void A(__global float4* a, __global float4* b, __global float4* c, uint d, uint e) {
  int2 f = (int2)(get_global_id(0), get_global_id(1));

  float4 g;
  float4 h;
  float4 i;
  float4 j;

  e /= 4;

  for (int k = 0; k < d; k = k + 4) {
    float4 l = a[k / 4 + (f.y << 2) * (d / 4)];
    float4 m = a[k / 4 + ((f.y << 2) + 1) * (d / 4)];
    float4 n = a[k / 4 + ((f.y << 2) + 2) * (d / 4)];
    float4 o = a[k / 4 + ((f.y << 2) + 3) * (d / 4)];

    float4 p = b[f.x + k * e];
    float4 q = b[f.x + (k + 1) * e];
    float4 r = b[f.x + (k + 2) * e];
    float4 s = b[f.x + (k + 3) * e];

    g.x += l.x * p.x + l.y * q.x + l.z * r.x + l.w * s.x;
    g.y += l.x * p.y + l.y * q.y + l.z * r.y + l.w * s.y;
    g.z += l.x * p.z + l.y * q.z + l.z * r.z + l.w * s.z;
    g.w += l.x * p.w + l.y * q.w + l.z * r.w + l.w * s.w;

    h.x += m.x * p.x + m.y * q.x + m.z * r.x + m.w * s.x;
    h.y += m.x * p.y + m.y * q.y + m.z * r.y + m.w * s.y;
    h.z += m.x * p.z + m.y * q.z + m.z * r.z + m.w * s.z;
    h.w += m.x * p.w + m.y * q.w + m.z * r.w + m.w * s.w;

    i.x += n.x * p.x + n.y * q.x + n.z * r.x + n.w * s.x;
    i.y += n.x * p.y + n.y * q.y + n.z * r.y + n.w * s.y;
    i.z += n.x * p.z + n.y * q.z + n.z * r.z + n.w * s.z;
    i.w += n.x * p.w + n.y * q.w + n.z * r.w + n.w * s.w;

    j.x += o.x * p.x + o.y * q.x + o.z * r.x + o.w * s.x;
    j.y += o.x * p.y + o.y * q.y + o.z * r.y + o.w * s.y;
    j.z += o.x * p.z + o.y * q.z + o.z * r.z + o.w * s.z;
    j.w += o.x * p.w + o.y * q.w + o.z * r.w + o.w * s.w;
  }
  c[f.x + ((f.y << 2) + 0) * e] = g;
  c[f.x + ((f.y << 2) + 1) * e] = h;
  c[f.x + ((f.y << 2) + 2) * e] = i;
  c[f.x + ((f.y << 2) + 3) * e] = j;
}
","[  1   9   1 ...,   0 127   0]"
6,amd-app-sdk-3.0-MatrixTranspose-matrixTranspose,default,42,0,16,8,2,0,32768,256,GPU,0.156639,0.08784600000000001,"__kernel void A(__global float4* a, __global float4* b, __local float4* c) {
  uint d = get_global_size(0);

  uint e = get_group_id(0);
  uint f = get_group_id(1);

  uint g = get_num_groups(0);

  uint h = e;
  uint i = (e + f) % g;

  uint j = get_local_id(0);
  uint k = get_local_id(1);

  uint l = get_local_size(0);

  uint m = i * l + j;
  uint n = h * l + k;
  int o = m + (n)*d * 4;

  int p = k * l * 4 + j;
  c[p] = b[o];
  c[p + l] = b[o + d];
  c[p + l * 2] = b[o + d * 2];
  c[p + l * 3] = b[o + d * 3];

  barrier(1);

  m = h * l + j;
  n = i * l + k;
  int q = m + (n)*d * 4;

  p = j * l * 4 + k;
  float4 r = c[p];
  float4 s = c[p + l];
  float4 t = c[p + l * 2];
  float4 u = c[p + l * 3];

  a[q] = (float4)(rx, sx, tx, ux);
  a[q + d] = (float4)(ry, sy, ty, uy);
  a[q + d * 2] = (float4)(rz, sz, tz, uz);
  a[q + d * 3] = (float4)(rw, sw, tw, uw);
}
","[129 129 129 ...,   0 127   0]"
7,amd-app-sdk-3.0-PrefixSum-group_prefixSum,default,36,10,12,8,2,0,4096,1024,GPU,0.484234,0.049375999999999996,"__kernel void A(__global float* a, __global float* b, __local float* c, const uint d, const uint e) {
  int f = get_local_id(0);
  int g = get_local_size(0);
  int h = get_group_id(0);

  h = (e * (2 * (h * g + f) + 1)) - 1;
  if (h < d) {
    c[2 * f] = b[h];
  }
  if (h + e < d) {
    c[2 * f + 1] = b[h + e];
  }

  int i = 1;
  for (int j = d >> 1; j > 0; j >>= 1) {
    barrier(1);
    if (f < j) {
      int k = i * (2 * f + 1) - 1;
      int l = i * (2 * f + 2) - 1;
      c[l] += c[k];
    }
    i <<= 1;
  }

  if (d > 2) {
    if (i < d) {
      i <<= 1;
    }

    int m = i >> 1;
    for (int n = 0; n < m; n <<= 1) {
      n += 1;
      i >>= 1;
      barrier(1);

      if (f < n) {
        int k = i * (f + 1) - 1;
        int l = k + (i >> 1);
        c[l] += c[k];
      }
    }
  }
  barrier(1);

  if (h < d) {
    a[h] = c[2 * f];
  }
  if (h + e < d) {
    a[h + e] = c[2 * f + 1];
  }
}
","[129 129 129 ...,   0 127   0]"
8,amd-app-sdk-3.0-Reduction-reduce,default,6,3,7,4,2,0,8208,256,GPU,0.161025,0.070912,"__kernel void A(__global uint4* a, __global uint4* b, __local uint4* c) {
  unsigned int d = get_local_id(0);
  unsigned int e = get_group_id(0);
  unsigned int f = get_global_id(0);

  unsigned int g = get_local_size(0);
  unsigned int h = f * 2;
  c[d] = a[h] + a[h + 1];

  barrier(1);

  for (unsigned int i = g >> 1; i > 0; i >>= 1) {
    if (d < i) {
      c[d] += c[d + i];
    }
    barrier(1);
  }

  if (d == 0)
    b[e] = c[0];
}
","[129 129 129 ...,   0 127   0]"
9,amd-app-sdk-3.0-ScanLargeArrays-ScanLargeArrays,default,32,3,21,14,4,0,263168,128,GPU,0.336185,0.03863,"__kernel void A(__global float* a, __global float* b, __local float* c, const uint d, __global float* e) {
  int f = get_local_id(0);
  int g = get_global_id(0);
  int h = get_group_id(0);

  c[2 * f] = b[2 * g];
  c[2 * f + 1] = b[2 * g + 1];
  barrier(1);

  float i = c[0];
  float j = i + c[1];

  for (int k = 1; k < d; k *= 2) {
    if (2 * f >= k) {
      i = c[2 * f - k] + c[2 * f];
      j = c[2 * f + 1 - k] + c[2 * f + 1];
    }
    barrier(1);

    c[2 * f] = i;
    c[2 * f + 1] = j;

    barrier(1);
  }

  e[h] = c[d - 1];

  if (f == 0) {
    a[2 * g] = 0;
    a[2 * g + 1] = c[2 * f];
  } else {
    a[2 * g] = c[2 * f - 1];
    a[2 * g + 1] = c[2 * f];
  }
}","[129 129 129 ..., 127   0 127]"
