Model,Platform,Benchmark Suite,Benchmark,Dataset,Oracle Mapping,Predicted Mapping,Correct?,Speedup
DeepTune,amd_tahiti_7970,amd-app-sdk-3.0,ScanLargeArrays,default,0,0,1,1.0
DeepTuneInst2Vec,amd_tahiti_7970,amd-app-sdk-3.0,ScanLargeArrays,default,0,0,1,1.0
Grewe et al.,amd_tahiti_7970,amd-app-sdk-3.0,ScanLargeArrays,default,0,0,1,1.0
Static mapping,amd_tahiti_7970,amd-app-sdk-3.0,ScanLargeArrays,default,0,0,1,1.0
DeepTune,nvidia_gtx_960,amd-app-sdk-3.0,ScanLargeArrays,default,1,1,1,1.0
DeepTuneInst2Vec,nvidia_gtx_960,amd-app-sdk-3.0,ScanLargeArrays,default,1,0,0,0.11490697086425627
Grewe et al.,nvidia_gtx_960,amd-app-sdk-3.0,ScanLargeArrays,default,1,0,0,0.11490697086425627
Static mapping,nvidia_gtx_960,amd-app-sdk-3.0,ScanLargeArrays,default,1,1,1,1.0
DeepTune,amd_tahiti_7970,amd-app-sdk-3.0,binomial_options,default,1,0,0,1.0
DeepTuneInst2Vec,amd_tahiti_7970,amd-app-sdk-3.0,binomial_options,default,1,1,1,2.2791632588472304
Grewe et al.,amd_tahiti_7970,amd-app-sdk-3.0,binomial_options,default,1,1,1,2.2791632588472304
Static mapping,amd_tahiti_7970,amd-app-sdk-3.0,binomial_options,default,1,0,0,1.0
DeepTune,nvidia_gtx_960,amd-app-sdk-3.0,binomial_options,default,1,1,1,1.0
DeepTuneInst2Vec,nvidia_gtx_960,amd-app-sdk-3.0,binomial_options,default,1,1,1,1.0
Grewe et al.,nvidia_gtx_960,amd-app-sdk-3.0,binomial_options,default,1,1,1,1.0
Static mapping,nvidia_gtx_960,amd-app-sdk-3.0,binomial_options,default,1,1,1,1.0
DeepTune,amd_tahiti_7970,amd-app-sdk-3.0,bitonicSort,default,0,1,0,0.43624629276512317
DeepTuneInst2Vec,amd_tahiti_7970,amd-app-sdk-3.0,bitonicSort,default,0,0,1,1.0
Grewe et al.,amd_tahiti_7970,amd-app-sdk-3.0,bitonicSort,default,0,0,1,1.0
Static mapping,amd_tahiti_7970,amd-app-sdk-3.0,bitonicSort,default,0,0,1,1.0
DeepTune,nvidia_gtx_960,amd-app-sdk-3.0,bitonicSort,default,1,0,0,0.4742824339839265
DeepTuneInst2Vec,nvidia_gtx_960,amd-app-sdk-3.0,bitonicSort,default,1,0,0,0.4742824339839265
Grewe et al.,nvidia_gtx_960,amd-app-sdk-3.0,bitonicSort,default,1,1,1,1.0
Static mapping,nvidia_gtx_960,amd-app-sdk-3.0,bitonicSort,default,1,1,1,1.0
DeepTune,amd_tahiti_7970,amd-app-sdk-3.0,blackScholes,default,1,0,0,1.0
DeepTuneInst2Vec,amd_tahiti_7970,amd-app-sdk-3.0,blackScholes,default,1,1,1,2.216845473401548
Grewe et al.,amd_tahiti_7970,amd-app-sdk-3.0,blackScholes,default,1,0,0,1.0
Static mapping,amd_tahiti_7970,amd-app-sdk-3.0,blackScholes,default,1,0,0,1.0
DeepTune,nvidia_gtx_960,amd-app-sdk-3.0,blackScholes,default,1,1,1,1.0
DeepTuneInst2Vec,nvidia_gtx_960,amd-app-sdk-3.0,blackScholes,default,1,1,1,1.0
Grewe et al.,nvidia_gtx_960,amd-app-sdk-3.0,blackScholes,default,1,1,1,1.0
