benchmark,dataset,comp,rational,mem,localmem,coalesced,atomic,transfer,wgsize,F1:transfer/(comp+mem),F2:coalesced/mem,F3:(localmem/mem)*avgws,F4:comp/mem,oracle,runtime,speedup,penalty,runtime_cpu,ci_cpu,ci_mean_cpu,runtime_gpu,ci_gpu,ci_mean_gpu,kernel_nlines,kernel_size
005ef03ac277e7418bb806ad623f5066de5031da.cl-A,1024,2,2,6,0,5,0,24576,256,3072.0,0.833,0.0,0.333,GPU,0.017248,3.47,0.29,0.059825,0.027666,0.462449,0.017248,0.003733,0.216431,8,191
005ef03ac277e7418bb806ad623f5066de5031da.cl-A,1048576,2,2,6,0,5,0,25165824,256,3145728.0,0.833,0.0,0.333,CPU,3.14427,2.85,0.35,3.14427,0.301743,0.095966,8.950547,0.010129,0.001132,8,191
005ef03ac277e7418bb806ad623f5066de5031da.cl-A,128,2,2,6,0,5,0,3072,128,384.0,0.833,0.0,0.333,CPU,0.011245,1.43,0.70,0.011245,0.007497,0.666696,0.016096,0.003792,0.235586,8,191
005ef03ac277e7418bb806ad623f5066de5031da.cl-A,131072,2,2,6,0,5,0,3145728,256,393216.0,0.833,0.0,0.333,CPU,0.339146,3.14,0.32,0.339146,0.098638,0.290842,1.063418,0.000886,0.000833,8,191
005ef03ac277e7418bb806ad623f5066de5031da.cl-A,16384,2,2,6,0,5,0,393216,256,49152.0,0.833,0.0,0.333,CPU,0.103308,1.08,0.92,0.103308,0.002366,0.022902,0.111744,0.00375,0.033559,8,191
005ef03ac277e7418bb806ad623f5066de5031da.cl-A,2048,2,2,6,0,5,0,49152,256,6144.0,0.833,0.0,0.333,GPU,0.019219,3.77,0.27,0.072523,0.039571,0.545634,0.019219,0.004765,0.247932,8,191
005ef03ac277e7418bb806ad623f5066de5031da.cl-A,2097152,2,2,6,0,5,0,50331648,256,6291456.0,0.833,0.0,0.333,CPU,5.682239,3.25,0.31,5.682239,1.689249,0.297286,18.494624,0.106484,0.005758,8,191
005ef03ac277e7418bb806ad623f5066de5031da.cl-A,256,2,2,6,0,5,0,6144,256,768.0,0.833,0.0,0.333,CPU,0.014862,1.08,0.93,0.014862,0.01756,1.181537,0.016051,0.004134,0.257554,8,191
005ef03ac277e7418bb806ad623f5066de5031da.cl-A,262144,2,2,6,0,5,0,6291456,256,786432.0,0.833,0.0,0.333,CPU,0.713604,2.95,0.34,0.713604,0.287843,0.403365,2.103014,0.000733,0.000349,8,191
005ef03ac277e7418bb806ad623f5066de5031da.cl-A,4096,2,2,6,0,5,0,98304,256,12288.0,0.833,0.0,0.333,GPU,0.021805,2.28,0.44,0.049713,0.021731,0.437129,0.021805,0.004151,0.190369,8,191
