benchmark,dataset,comp,rational,mem,localmem,coalesced,atomic,transfer,wgsize,F1:transfer/(comp+mem),F2:coalesced/mem,F3:(localmem/mem)*avgws,F4:comp/mem,oracle,runtime,speedup,penalty,runtime_cpu,ci_cpu,ci_mean_cpu,runtime_gpu,ci_gpu,ci_mean_gpu,kernel_nlines,kernel_size
005ef03ac277e7418bb806ad623f5066de5031da.cl-A,1024,2,2,6,0,5,0,24576,256,3072.0,0.833,0.0,0.333,GPU,0.046133,1.30,0.77,0.059825,0.027666,0.462449,0.046133,0.001591,0.034487,8,191
005ef03ac277e7418bb806ad623f5066de5031da.cl-A,1048576,2,2,6,0,5,0,25165824,256,3145728.0,0.833,0.0,0.333,CPU,3.14427,1.46,0.68,3.14427,0.301743,0.095966,4.597703,0.821877,0.178758,8,191
005ef03ac277e7418bb806ad623f5066de5031da.cl-A,128,2,2,6,0,5,0,3072,128,384.0,0.833,0.0,0.333,CPU,0.011245,4.41,0.23,0.011245,0.007497,0.666696,0.0496,0.006548,0.132016,8,191
005ef03ac277e7418bb806ad623f5066de5031da.cl-A,131072,2,2,6,0,5,0,3145728,256,393216.0,0.833,0.0,0.333,CPU,0.339146,2.12,0.47,0.339146,0.098638,0.290842,0.719252,0.261899,0.364127,8,191
005ef03ac277e7418bb806ad623f5066de5031da.cl-A,16384,2,2,6,0,5,0,393216,256,49152.0,0.833,0.0,0.333,GPU,0.096919,1.07,0.94,0.103308,0.002366,0.022902,0.096919,0.001569,0.016189,8,191
005ef03ac277e7418bb806ad623f5066de5031da.cl-A,2048,2,2,6,0,5,0,49152,256,6144.0,0.833,0.0,0.333,GPU,0.04797,1.51,0.66,0.072523,0.039571,0.545634,0.04797,0.001733,0.036127,8,191
005ef03ac277e7418bb806ad623f5066de5031da.cl-A,2097152,2,2,6,0,5,0,50331648,256,6291456.0,0.833,0.0,0.333,CPU,5.682239,1.46,0.69,5.682239,1.689249,0.297286,8.287504,2.788553,0.336477,8,191
005ef03ac277e7418bb806ad623f5066de5031da.cl-A,256,2,2,6,0,5,0,6144,256,768.0,0.833,0.0,0.333,CPU,0.014862,3.14,0.32,0.014862,0.01756,1.181537,0.046637,0.002306,0.049446,8,191
005ef03ac277e7418bb806ad623f5066de5031da.cl-A,262144,2,2,6,0,5,0,6291456,256,786432.0,0.833,0.0,0.333,CPU,0.713604,1.91,0.52,0.713604,0.287843,0.403365,1.363792,0.480277,0.352163,8,191
005ef03ac277e7418bb806ad623f5066de5031da.cl-A,4096,2,2,6,0,5,0,98304,256,12288.0,0.833,0.0,0.333,CPU,0.049713,1.22,0.82,0.049713,0.021731,0.437129,0.060563,0.007318,0.120833,8,191
